province,region,latitude,longitude,altitude,timezone
ACEH,KABUPATEN SIMEULUE,2.61667,96.08333,72,7
ACEH,KABUPATEN ACEH SINGKIL,2.41667,97.91667,31,7
ACEH,KABUPATEN ACEH SELATAN,3.16667,97.41667,109,7
ACEH,KABUPATEN ACEH TENGGARA,3.36667,97.7,1462,7
ACEH,KABUPATEN ACEH TIMUR,4.63333,97.63333,35,7
ACEH,KABUPATEN ACEH TENGAH,4.51,96.855,1619,7
ACEH,KABUPATEN ACEH BARAT,4.45,96.16667,41,7
ACEH,KABUPATEN ACEH BESAR,5.38333,95.51667,35,7
ACEH,KABUPATEN PIDIE,5.08,96.11,999,7
ACEH,KABUPATEN BIREUEN,5.08333,96.58333,307,7
ACEH,KABUPATEN ACEH UTARA,4.97,97.14,140,7
ACEH,KABUPATEN ACEH BARAT DAYA,3.83333,96.88333,839,7
ACEH,KABUPATEN GAYO LUES,3.95,97.39,1163,7
ACEH,KABUPATEN ACEH TAMIANG,4.25,97.96667,34,7
ACEH,KABUPATEN NAGAN RAYA,4.16667,96.51667,129,7
ACEH,KABUPATEN ACEH JAYA,4.86,95.64,741,7
ACEH,KABUPATEN BENER MERIAH,4.73015,96.86156,1442,7
ACEH,KABUPATEN PIDIE JAYA,5.15,96.21667,156,7
ACEH,KOTA BANDA ACEH,5.54167,95.33333,8,7
ACEH,KOTA SABANG,5.82164,95.31086,169,7
ACEH,KOTA LANGSA,4.47,97.93,25,7
ACEH,KOTA LHOKSEUMAWE,5.13333,97.06667,10,7
ACEH,KOTA SUBULUSSALAM,2.75,97.93333,34,7
SUMATERA UTARA,KABUPATEN NIAS,1.03333,97.76667,48,7
SUMATERA UTARA,KABUPATEN MANDAILING NATAL,0.78378,99.25495,1344,7
SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,1.51667,99.25,1127,7
SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,1.9,98.66667,136,7
SUMATERA UTARA,KABUPATEN TAPANULI UTARA,2.0028,99.0707,1271,7
SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,2.39793,99.21678,919,7
SUMATERA UTARA,KABUPATEN LABUHAN BATU,2.26667,100.1,14,7
SUMATERA UTARA,KABUPATEN ASAHAN,2.78333,99.55,49,7
SUMATERA UTARA,KABUPATEN SIMALUNGUN,2.9,99,580,7
SUMATERA UTARA,KABUPATEN DAIRI,2.86667,98.23333,518,7
SUMATERA UTARA,KABUPATEN KARO,3.11667,98.3,702,7
